iter	Passed	Remaining
982	39476	682
983	39523	642
984	39576	602
985	39613	562
986	39654	522
987	39694	482
988	39735	441
989	39776	401
990	39813	361
991	39854	321
992	39894	281
993	39943	241
994	39984	200
995	40023	160
996	40069	120
997	40107	80
998	40151	40
999	40190	0
